name,lat,long,number,population,numpop
Berlin,52.51,13.38,1020000,3520000,"0,29"
Hamburg,53.55,10,1410000,1790000,"0,79"
Munich,48.13,11.57,850000,1450000,"0,57"
Dusseldorf,51.23,6.77,450000,610000,"0,73"
Essen,51.45,7.01,220000,580000,"0,38"
Cologne,50.94,6.96,800000,1060000,"0,75"
